Prime TV Shows
S.no.,Name of the show,Genre,IMDb rating
154,Time After Time,"Drama, Sci-fi",6.7
155,Life,Drama,8.3
156,Hunter,Drama,
157,The Missing,Drama,
158,Fukuyadou Honpo-Kyoto Love Story,"Drama, Romance",7.7
159,Collision,Drama,
160,Presumed Guilty,Drama,
161,Deutschland,Drama,8.1
162,Lore,Horror,6.7
163,Tokyo Alice,Drama,4
164,Warrior's Way,Drama,
165,Silk Stalkings,Drama,
166,Transparent,"Drama, Comedy, LGBTQ",7.8
167,The Last Tycoon,Drama,7.7
168,Too Old to Die Young,Drama,
169,4 Blocks,Drama,
170,Haunted,Drama,
171,Lodge 49,"Drama, Comeddy",
172,The First,"Drama, Sci-fi",
173,Black sun,Drama,
174,Life Sentence,Drama,
175,Shackleton: Trapped in the South Pole,Drama,
176,Final Life,Drama,5.2
177,Falling Water,"Drama, Sci-fi",6.5
178,"Midnight, Texas",Drama,
179,The Idolm@aster.kr,Drama,
180,Inside Borussia Dortmund,"Drama, Documentary",
181,All American,"Drama, Sports",
182,Almirante Hotel,Drama,
183,The Collection,Drama,7.1
184,Beat,Drama,7.4
185,Coloner March of Scotland Yard,Drama,
186,New Worlds,Drama,
187,Missing Evidence,Drama,
188,Deadly Game,Drama,
189,Feed the Beast,Drama,6.7
190,The Commish,Drama,
191,Water Rats,Drama,
192,The Incredible Journey of Mary Bryant,Drama,
193,Dietland,"Drama, Comedy",
194,One Mississippi,Drama,7.3
195,Roadies,"Drama, Comedy",7.3
196,Lifeline,Drama,
197,The Secrets of Borgo Lairci,Drama,
198,MAGI The Tensho Boys' Embassy,Drama,
199,Stingray,Drama,
200,Tucker's Witch,Drama,
201,Extrano Enemigo,Drama,
202,The Cecil B. DeMille Classics Collection,Drama,
203,The Path,Drama,7.3
204,Girlfriends Guide to Divorce,Comedy,6.9
205,Lorena,Documentary,7.2
206,When We Go to War,Drama,
207,Peter Gunn,Drama,
208,Queen Sugar,Drama,7.7
209,Alone Together,Comedy,
210,Booker,Drama,
211,Casanova: PBS Masterpiece Theatre- The Complete Series,Drama,
212,Mr. Lucky,Drama,
213,The Lives of the Saints,Drama,
214,Neon Rider,Drama,
215,The Ray Bradbury Theatre,Drama,
216,Silver and Gold,Drama,
217,An Unknown Enemy,Drama,8.1
218,Black Harbour,Drama,
219,Family Pictures,Drama,
220,To the Ends of the Earth (BBC Series),Drama,
221,The Red Line,Drama,
222,Your brush with Nature,Drama,
223,The Last Ship,"Drama, Suspense, Action",7.5
224,Constantine,"Sci-fi, Action, Suspense ",7.5
225,Super Wings,Kids,
226,Lockout,Action,
227,Lost in Oz,Kids,7.7
228,Journey with Dylan Dreyer,Action,
229,Vir the Robot Boy,Kids,
230,Forensic Files,Documentary,
231,Highway on my Plate,Adventure,
232,The Lost World,Action,
233,T-Buster,Kids,
234,Tobot,Kids,
235,Tropical Heat,Action,
236,Amazon Riders,Action,7.9
237,Hitler's Eastern Front,Action,
238,Full Disclosure,Action,
239,Conviction,Action,
240,Junior G,Action,
241,U.S Bounty Hunters,Action,
242,Legacy,Action,
243,The Adventures of Robin Hood,Adventure,
244,Skulls and Roses,Action,4.3
245,Caribbean Thunder,Action,
246,The New Adventures of Flash Gordon,Action,
247,Renegade,Action,
248,Strike Force,Action,
249,The Harbor: Aberdeen,Action,
250,Teen Wolf,Action,
251,The Buccaneers,Action,
252,Cocomong,Kids,
253,Vancy Derringer,Action,
254,Shark Man,Action,
255,Bhoot and Friends,Kids,
256,The Greatest American Hero,Action,
257,Space Precinct: Complete Series,Action,
258,Which Way To,Action,
259,Young Sheldon,Comedy,
260,The Big Bang Theory,Comedy,
261,The Office,Comedy,
262,Mr. Bean,Comedy,8.5
263,Mind the Malhotras,Comedy,
264,Mr. Bean: The Animated Series,Comedy,6.8
265,2 Broke Girls,Comedy,6.7
266,The Stinky & Dirty Show,"Kids, Animation",7.1
267,Joey,Comedy,
268,Two and a Half Men,Comedy,7
269,Selfie with Bajrangi,Kids,
270,Russell Peters: Deported,Comedy,6.1
271,Classic Popeye,Animation,
272,Inspector Chingum,Kids,
273,Eeena Meena Deeka,Kids,
274,Psych,Comedy,
275,Mom,Comedy,7.2
276,Yeh Jo hain Zindagi,Comedy,
277,Oggy and the Cockroaches,Kids,7.3
278,The Kicks,"Sports, Drama",6.9
279,The PowerPuff Girls,"Kids, Animation",7.2
280,The Middle,Comedy,7.5
281,Zabaan Sambhalke,Comedy,
282,Seinfeld,Comedy,8.8
283,Parks and Recreation,Comedy,
284,Chaplin & Co,Comedy,5.8
285,Shaitaan Haveli,Comedy,
286,The Fresh Prince of Bel-Air,Comedy,
287,Jimmy O. Yang: Good Deal,"Arts, Entertainment, Culture",7.1
288,Cat vs Keet,Kids,
289,Citizen Khan,Comedy,
290,Chuck,Comedy,
291,The Mindy Project,Comedy,7.4
292,Curious George,Kids,
293,Johnny Bravo,Kids,7.2
294,Californication,Comedy,8.3
295,Sigmund and the Sea Monsters,Kids,6.9
296,Casual,Comedy,
297,Munki and Trunk,Kids,8.4
298,Anger Management,Comedy,6.6
299,Jean Claude Van Johnson,Comedy,7.6
300,Best of AIB,Comedy,8.2
301,Forever,Comedy,7.2
302,Dennis the Menace,Kids,6.3
303,Yes Minister: Specials,Comedy,
304,I love Dick,Comedy,6.2
305,Raja aur Rancho,Comedy,
306,Dilruk Jayasinha: Bundle of Joy,"Arts, Entertainment, Culture",
307,"Yes, Prime Minister",Comedy,
308,Going Viral Pvt. Ltd.,Comedy,
309,PAC-MAN and the Ghostly Adventures,Animation,
310,El Juego de las Llaves,Comedy,
311,Desperate Widows,"Drama, Comedy",6.5
312,Coupling,Comedy,
313,Trial and Error,Comedy,8
314,Man's World,Comedy,7.3
315,Anne Edmonds: What's Wrong with You?,"Arts, Entertainment, Culture",6.4
316,Red Oaks,Comedy,7.9
317,Censhorship in the Future,Comedy,6.3
318,Alice Wettlund: My Mama is a Human and So Am I,Comedy,4.7
319,Die Trying,Comedy,
320,That Girl,Comedy,7.1
321,Little Big Awesome,Kids,7.2
322,Celia Pacquola: All Talk,Comedy,
323,Tommy Little: Self-Diagnosed Genius,"Arts, Entertainment, Culture",6.2
324,Bananas in Pyjamas,Kids,
325,The New Archie's,Kids,6.7
326,The Simple Life,Comedy,
327,The Detour,Action,7.7
328,Splitting Up Together,Comedy,
329,Paul Chowdhry: Live Innit,"Arts, Entertainment, Culture",
330,Danger and Eggs,Comedy,6.6
331,EIC vs The World,Comedy,8
332,SNG: What if,Comedy,6
333,Living Biblically,Comedy,
334,Kanan Gill: How Insensitive,Comedy,7
335,Jim Gaffigan: Quality Time,Comedy,7.6
336,Angie Tribeca,Comedy,7
337,Inside Jokes,"Arts, Entertainment, Culture",7.1
338,Alice Fraser: Savage,Comedy,
339,Judith Lucy: Judith Lucy vs Men,Comedy,6
340,Zoe Coombs Marr: Bossy Bottom,Comedy,
341,The Grand Tour,Sports,8.7
342,The Adventures of Rocky and Bullwinkle,Kids,5.4
343,The Adventures of Paddington Bear,Kids,7.1
344,Chacha Bhatija,Kids,
345,Lexx,Sci-fi,
346,Atchoo,Kids,
347,Tom Gleeson: Joy,Comedy,6.3
348,People of Earth,Comedy,7.7
349,Son of Abish,"Arts, Entertainment, Culture",7.3
350,Tom Walker: Very Very,Comedy,
351,Jayde Adams: Serious Black Jumper,Comedy,6.9
352,Crisis in Six Scenes,Comedy,6.6
353,Alonzo Bodden: Heavy Lightweight,Comedy,5.6
354,Chris Ramsey: Approval Needed,"Arts, Entertainment, Culture",7.2
355,LOL: Australia,Comedy,
356,#IMomSoHard Live,Comedy,5.4
357,Caligula,Comedy,
358,Lano & Woodley: Fly,Comedy,6.2
359,The Late Show with James Corden,Comedy,6.2
360,Spaced,Comedy,
361,Random Gappa,Comedy,
362,Rob Delaney: Jackie,Comedy,6.4
363,Mike E. Winfield: StepMan,Comedy,6.3
364,Ed Gamble: Blood Sugar,"Arts, Entertainment, Culture",
365,Mini Ninjas,Comedy,
366,Loudermilk,Comedy,
367,Flo and Joan: Alive on Stage,"Arts, Entertainment, Culture",
368,Ilana Glazer: The Planet is Burning,Comedy,3.7
369,Scream Street,Kids,7.1
370,"Me, Myself and I",Comedy,7.2
371,Kung Fu Bunny,Kids,
372,The Kacey Musgraves Christmas Show,Comedy,7.2
373,Simon's Cat- Classic Collection,Comedy,
374,The Danny Thomas Show,Comedy,7.2
375,Hitoshi Matsumoto Presents Documental,Comedy,8
376,Businessmen VS Aliens,Comedy,4.5
377,Murphy Brown,Comedy,
378,The Best of Groucho,Comedy,
379,WassUp With You,Comedy,
380,Scooter: Secret Agent,Comedy,6.8
381,LOL: Last one Laughing,Comedy,
382,Faireez,Comedy,
383,A New Kind Of Magic,Comedy,
384,The Real McCoys,Comedy,7.5
385,Uchimura Summers,"Arts, Entertainment, Culture",
386,Paprika,Kids,
387,Gattu- The Power Champ,Kids,
388,Still Standing,Comedy,
389,Chris Tall Presents…,Comedy,
390,Short Poppies,Comedy,
391,The 2018 Rose Parade Hosted by Cord & Tish,Comedy,
392,Aliens Love Underpants And…,Kids,
393,Gina Brillon: The Floor is Lava,Comedy,
394,,,
395,,,
